full_site_address,Latitude,Longitude,nearby_traffic_lights_count,distance_nearest_traffic_light_1,distance_nearest_traffic_light_2,distance_nearest_traffic_light_3,distance_nearest_traffic_light_4,distance_nearest_traffic_light_5,distance_nearest_traffic_light_6,distance_nearest_traffic_light_7,distance_nearest_traffic_light_8,distance_nearest_traffic_light_9,distance_nearest_traffic_light_10
"Bamboo Carwash , 240 Marketplace Blvd , Dawsonville , GA , 30534",34.3494093,-84.050791,12,0.11585083401046485,0.2585222906116385,0.3193831324195857,0.34799903350011485,0.4776515687605254,1.1215251716350918,1.2500523363882252,1.2551758457761237,1.3677053795102079,1.3808920723116076
"Baymeadows , 9491 Baymeadows Rd , Jacksonville , FL , 32256",30.2220392,-81.5612917,31,0.16618492778076668,0.18883530857830097,0.37159169761260386,0.4116330966566589,0.5474678292800604,0.5603556727727887,0.6022888506119811,0.6251185893455019,0.7778715698102475,0.7866261306181497
"Beach u0026 Hodges , 13940 Beach Blvd , Jacksonville , FL , 32224",30.2870332,-81.4500219,13,0.10986888638722467,0.16438774368916625,0.5254809027597157,0.5404288159560023,0.7334546512370818,0.8472208513852544,1.0995331331863787,1.5726301009872004,1.6265088580520153,1.6892964071661605
"Beach Bum Express , 7602 El Camino Real , Carlsbad , CA , 92009",33.0875427,-117.2684842,54,0.11881005736125057,0.13614894469637998,0.16318690998582472,0.4108050979363706,0.47828818575951293,0.6408773663127546,0.9228463197166531,1.009740365706897,1.0133793124032773,1.0176620152902904
"Bella Stone Car Wash , 2413 Palermo Parkway , Temple , TX , 76502",31.0378299,-97.3912928,4,0.07995443780462613,1.43803000133862,1.4574372718211674,1.9670390434341793,,,,,,
"Benton - Congo Rd , 2620 Congo Rd , Benton , AR , 72019",34.5891943,-92.5698083,12,0.35666800949524546,0.3850433816549326,0.4578954305746063,0.6678927350465839,0.8030901659140068,1.1923960303595238,1.3547813636720303,1.4867057921362499,1.6349319573182184,1.727844748533685
"Bentonville - S Walton Blvd , 1005 S Walton Blvd , Bentonville , AR , 72712",36.361368,-94.21604,35,0.12260559794377918,0.19076937693099452,0.2806238919229066,0.3283125715504703,0.370801588071127,0.37362163393491915,0.42953860448247577,0.4357191297363348,0.43932946291171193,0.5570879875486076
"Bentonville - SW Regional Airport Rd , 1907 SW Regional Airport Blvd , Bentonville , AR , 72712",36.3357334,-94.2349041,11,0.06085654594478257,0.6812841496760559,0.8460655479521338,1.378170797827536,1.4249053745826563,1.536281176552813,1.6479802584761472,1.745351289473729,1.8371483646282172,1.889322127722059
"Berwick , 5702 Ogeechee rd , Savannah , GA , 31322",32.0285169,-81.2226747,2,1.1566294496380671,1.1671172929189915,,,,,,,,
"Big Danu0027s Acworth , 3150 Blue Springs Rd , Kennesaw , GA , 30144",34.0296049,-84.6478307,16,0.11805620982832117,0.515950394708785,0.5288406849794132,0.6159154708271172,0.6846352437660234,1.197861029877803,1.3826081858201051,1.3960605100771142,1.463409085389267,1.560374778952946
"Big Danu0027s Albany , 375 N Slappey Blvd , Albany , GA , 31701",31.5807782,-84.176539,51,0.05156294631628262,0.07636534897859629,0.2733579336938622,0.36919231284167947,0.41618820110996374,0.4845317358291547,0.5113058343131079,0.5911600862322371,0.6378686238093662,0.6525543431023941
"Big Danu0027s Bradenton 14th St , 6310 14th St W , Bradenton , FL , 34207",27.4289973,-82.5762552,19,0.16172629510596093,0.4070075591886624,0.43875678363931886,0.5558320118114741,0.7375110902301416,0.783834646674197,1.0552869075719138,1.2348760487496881,1.2924041171370262,1.304994876358794
"Big Danu0027s Bradenton 301 , 118 301 Blvd W , Bradenton , FL , 34205",27.4668065,-82.5638053,51,0.08411880239685343,0.08437762143082632,0.2568505762171566,0.36256713213526,0.4121188494826391,0.4571951769613072,0.47474554809704805,0.5462720437334854,0.6687633976364539,0.7080290160654048
"Big Danu0027s Columbia , 1027 Elmwood Ave , Columbia , SC , 29201",34.0130109,-81.0412645,142,0.035840203281332216,0.07866133371575183,0.11928486476516692,0.13153822327868567,0.17489374679268363,0.2267542218953344,0.22782092382236122,0.2609494855247577,0.26251820004291726,0.3227507613886656
"Big Danu0027s Crystal River , 517 NE 5th St , Crystal River , FL , 34429",28.8986604,-82.5859672,10,0.042872581964542286,0.19129719661604586,0.434405880976376,0.4572641904625251,0.8450721273540658,0.9579396481382978,1.053254811742578,1.139042894570413,1.236877728601269,1.628626773603421
"Big Danu0027s Dale Mabry , 7510 N Dale Mabry Hwy , Tampa , FL , 33614",28.0171106,-82.5055576,46,0.18464290804995306,0.5713073354227541,0.6418949977415951,0.6567814121232802,0.6841359157448581,0.7448960410052698,0.8278407791120073,0.836994724792857,0.8499373237390881,0.8733751578203875
"Big Danu0027s Decatur , 6024 Covington Hwy , Decatur , GA , 30035",33.72409,-84.171848,31,0.2886566519514142,0.5116789887904345,0.5621262135057694,0.7303897472086517,0.7542375525323655,0.8363115872365793,0.872620790697157,0.8909010186880006,1.0213181146942352,1.0227930834936405
"Big Danu0027s Fairburn , 7925 Senoia Rd , Fairburn , GA , 30213",33.5396761,-84.5776059,11,0.030778865366028613,0.1950108908511092,0.2501359982118493,0.3569135405003917,0.5034455345110486,0.7847151731809376,0.8051777897010378,1.8267156491281005,1.8520040848976314,1.899798474882767
